tanggal,kategori,nominal,deskripsi
2026-07-01,Gaji,3000000,Transfer gaji bulanan
2026-07-02,Makanan & Minuman,45000,Indomaret
2026-07-02,Transportasi,25000,Gojek
2026-07-03,Makanan & Minuman,60000,Kopi Kenangan
2026-07-04,Makanan & Minuman,35000,Warteg
2026-07-05,Langganan Digital,54000,Netflix
2026-07-06,Transportasi,30000,Grab
2026-07-07,Makanan & Minuman,80000,Restoran
2026-07-08,Makanan & Minuman,40000,Indomaret
2026-07-09,Belanja Online,150000,Shopee
2026-07-10,Makanan & Minuman,55000,Kopi Kenangan
2026-07-11,Transportasi,28000,Gojek
2026-07-12,Makanan & Minuman,45000,Warteg
2026-07-13,Hiburan,100000,Bioskop
2026-07-14,Makanan & Minuman,70000,Restoran
2026-07-15,Makanan & Minuman,90000,Kopi Kenangan
2026-07-16,Transportasi,32000,Grab
2026-07-17,Makanan & Minuman,50000,Indomaret
2026-07-18,Belanja Online,200000,Shopee
2026-07-19,Makanan & Minuman,65000,Restoran
2026-07-20,Makanan & Minuman,85000,Kopi Kenangan
